"Month","Cluster Location","Organization","Local Storage (B)","Local Effective Logical Data (B)","Archival Storage (B)","Local Data Reduction (%)","Local Logical Data Reduction (%)","Replicated Storage (B)","Local Storage Growth (B)","Replicated Storage Growth (B)","Archival Storage Growth (B)"
"2025-02","Remote","Global","60094748692.0","2017811447808.0","0.0","47.71","97.02","0.0","852594085.0","0.0","0.0"
"2025-03","Remote","Global","61868180765.0","2108410860544.0","0.0","47.71","97.07","0.0","1773432073.0","0.0","0.0"
"2025-04","Remote","Global","66856379343.0","2032012283904.0","0.0","53.79","96.71","0.0","4988198578.0","0.0","0.0"
"2025-05","Remote","Global","78894873219.0","2350537846272.0","0.0","51.35","96.64","0.0"," -27635102274.0","0.0","0.0"
"2025-06","Remote","Global","89724052892.0","4180706782208.0","0.0","53.59","97.85","0.0","10687161945.0","0.0","0.0"
"2025-11","Remote","Global","148121971206.0","4173737991168.0","0.0","64.05","96.45","0.0"," -55337906112.0","0.0","0.0"
"2025-12","Remote","Global","178768132074.0","6519675404288.0","0.0","64.21","97.26","0.0","14490929443.0","0.0","0.0"
"2025-09","Remote","Global","198376642009.0","8641390654464.0","0.0","68.36","97.70","0.0"," -7871143096.0","0.0","0.0"
"2025-10","Remote","Global","199360665468.0","4576197624320.0","0.0","63.86","95.64","0.0","896817962.0","0.0","0.0"
"2026-01","Remote","Global","204839454918.0","8316764252160.0","0.0","65.11","97.54","0.0"," -214795561032.0","0.0","0.0"
"2025-08","Remote","Global","206252127864.0","8659837395968.0","0.0","67.09","97.62","0.0"," -19160311535.0","0.0","0.0"
"2026-02","Remote","Global","210779181548.0","9520470222336.0","0.0","68.45","97.79","0.0","5891195636.0","0.0","0.0"
"2025-07","Remote","Global","220534472652.0","8952431824384.0","0.0","65.49","97.54","0.0","30047452802.0","0.0","0.0"
"2026-03","Remote","Global","239943341713.0","13357004801024.0","0.0","63.15","98.20","0.0"," -198183991100.0","0.0","0.0"
"2026-04","Remote","Global","3109722549819.0","116749167600128.0","0.0","86.04","97.34","0.0","1666356323687.0","0.0","0.0"
"2025-12","Local","Global","18632462610020.0","5589783391229696.0","0.0","97.31","99.67","1063252770265.0","306024971817.0","5868010782.0","0.0"
"2026-02","Local","Global","29125762921623.0","8488224347008640.0","0.0","96.44","99.66","556861371719.0","293314231437.0","548908598444.0","0.0"
"2025-02","Local","Global","31187380572614.0","4395781475813888.0","8340095244.0","96.42","99.29","10987154477536.0"," -36584708134108.0","0.0","4602691440.0"
"2025-10","Local","Global","31705966251782.0","5812976862256960.0","198686568.0","96.81","99.45","1057940498267.0","2305950387154.0"," -2531958108784.0"," -13981929059.0"
"2025-05","Local","Global","32967173784816.0","5300571866368256.0","14627297242.0","97.79","99.38","9690102394372.0"," -42887840493.0","11824098850.0","6104187347.0"
"2025-04","Local","Global","33131185761793.0","4953706345533824.0","8523109895.0","97.66","99.33","9678328480911.0","70534465665.0"," -10069126459.0"," -5910936709.0"
"2026-01","Local","Global","35112358970118.0","8943236783186688.0","0.0","96.03","99.61","1062890015909.0","5879323374781.0"," -375362190.0","0.0"
"2026-04","Local","Global","35927743537833.0","12061751350394048.0","0.0","95.75","99.70","566750628451.0","2592775808288.0"," -277113745431.0","0.0"
"2025-06","Local","Global","37573559784534.0","5460204308677888.0","8728154263.0","97.53","99.31","3774268461020.0","6719071261721.0"," -75113463666.0"," -5899142979.0"
"2025-03","Local","Global","37886915871567.0","4803497085684352.0","14434046604.0","96.25","99.21","9688409626905.0"," -998699121837.0"," -1298744850631.0","6093951360.0"
"2025-09","Local","Global","38470166091377.0","5877802294973440.0","0.0","98.28","99.35","9804662119906.0"," -56510800156.0","805751110426.0","0.0"
"2025-07","Local","Global","42055398958646.0","7082610846038784.0","14785643304.0","97.82","99.41","8875013340530.0","339644214880.0"," -733304524726.0"," -8416283081.0"
"2026-03","Local","Global","42844017106331.0","10235720723659456.0","0.0","95.78","99.58","8113637749929.0","1805825802450.0","286956483337.0","0.0"
"2025-08","Local","Global","62598190265083.0","11958816724019648.0","14195234931.0","96.53","99.48","9372244213162.0","4003815743329.0","116343377752.0"," -12406667624.0"
"2025-11","Local","Global","63267080114126.0","6318184382030976.0","213305872.0","94.17","99.00","7653135971394.0"," -1651356181229.0"," -555738784.0","0.0"
